RANK,FULLNAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes,USG%Usage,TO%Turnover,FTA,FT%,2PA,2P%,3PA,3P%,eFG%Effective,TS%True,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VIVersatility,ORTG,DRTG
,Marko Simonovic,Chi,C,22.38,9,3.9,8.1,27.3,9.2,11,0.727,10,0.3,5,0.2,0.3,0.428,1.9,1.1,15.8,0,0,0.11,0.11,0.22,0,,
,Anfernee Simons,Por,G,22.73,55,29.3,61.1,24.8,11.8,109,0.881,341,0.501,421,0.397,0.553,0.58,17.1,2.7,5,3.9,22,0.53,0.11,1.96,7.7,112,113.6
,Jericho Sims,Nyk,C,23.36,20,7.7,15.9,4.5,12.7,4,0.75,12,0.667,0,0,0.667,0.69,1,2.1,14.3,0.2,3.6,0.25,0.4,0.1,3.9,153.7,99.9
,Deividas Sirvydis,Det,F-G,21.72,3,8.9,18.5,16.1,0,0,0,3,0,7,0.143,0.15,0.15,1,2,12.1,0.3,5.1,1,0.33,0,3.8,40.6,93.5
,Javonte Smart,Mil,G,22.74,13,12.3,25.6,14.6,16.5,6,0.833,25,0.28,18,0.222,0.302,0.34,2.4,1.5,6.3,1.1,11.2,0.31,0.15,0.69,5.1,77.1,108
,Marcus Smart,Bos,G,27.99,53,32.7,68,17.4,15.6,142,0.789,262,0.504,253,0.32,0.492,0.536,11.7,3.9,6.4,5.4,23.9,1.85,0.26,2.02,7.7,110,101.8
,Dennis Smith Jr.,Por,G,24.26,37,17.3,36,18.3,19,64,0.656,162,0.451,27,0.222,0.434,0.474,5.6,2.4,7.5,3.6,30.2,1.22,0.32,1.38,8.4,101.9,107.5
,Ish Smith,Cha,G,33.65,37,13.8,28.8,18.9,15.7,19,0.632,160,0.394,25,0.4,0.422,0.434,4.5,1.5,5.8,2.6,26.4,0.54,0.27,0.97,7.5,94.7,110.9
,Ish Smith,Was,G,33.65,6,22,45.8,21,14.4,1,0,44,0.545,9,0.333,0.538,0.533,9.5,2.8,7,4.8,35.2,0.83,0.5,1.5,9.2,110.5,104.6
,Jalen Smith,Pho,F-C,21.96,29,13.2,27.4,20.6,12.1,52,0.769,98,0.551,39,0.231,0.493,0.547,6,4.8,19.4,0.2,2.1,0.21,0.62,0.76,5.4,113.3,94.3
,Jalen Smith,Ind,F-C,21.96,7,23.4,48.8,19.5,12.1,14,0.786,31,0.645,28,0.464,0.669,0.691,12.9,7,16.5,1.1,7.6,0.43,0.57,1.29,7.9,126.9,106.7
,Xavier Sneed,Mem,F,20,2,3.9,8,10.7,0,0,0,0,0,2,0,0,0,0,1,13.6,0,0,0,0,0,0,,
,Tony Snell,Por,G,30.31,38,14.4,29.9,8.7,10.1,3,1,22,0.545,75,0.32,0.495,0.503,2.6,1.9,7.2,0.6,5.2,0.21,0.18,0.29,4,103.9,111.2
,Tony Snell,Nor,G,30.31,5,20.2,42,13.7,12.5,0,0,5,0.6,23,0.522,0.75,0.75,8.4,3.8,10.4,0.6,4.5,0.6,0,0.8,5.3,128.5,103.5
,Jaden Springer,Phi,G,19.43,2,2.8,5.8,16.1,50,0,0,1,1,0,0,1,1,1,1,19.8,0,0,0,1,0.5,0,,
,Cassius Stanley,Det,G,22.54,9,17.2,35.9,15.5,10.6,10,1,29,0.517,17,0.235,0.457,0.516,5.8,2.1,6.6,0.4,3.9,0.56,0.22,0.67,3.9,101.1,107.1
,Nik Stauskas,Mia,G,28.4,2,11.9,24.7,18.3,0,4,0.75,4,0.25,4,0.5,0.5,0.564,5.5,1.5,7.1,0.5,6.1,0,0,0,5.4,127.5,110.7
,Lance Stephenson,Atl,F,31.49,6,11.6,24.1,11.2,22.4,2,0.5,10,0.5,3,0,0.385,0.396,1.8,2.5,11.8,1.8,20.1,0,0,0.67,6.9,91.4,104.9
,Lance Stephenson,Ind,F,31.49,25,20.1,41.8,24.4,16.5,50,0.78,153,0.536,62,0.274,0.5,0.536,10.2,3.2,8.7,4.1,31.9,0.64,0.12,1.88,10.2,106.2,105.6
,Lamar Stevens,Cle,F,24.64,43,13.9,29,16.2,10.4,42,0.643,135,0.533,44,0.295,0.511,0.532,4.9,2.1,8.3,0.6,6.2,0.47,0.21,0.53,5.3,106.1,99.9
,Isaiah Stewart,Det,F-C,20.78,53,26,54.1,14.6,13.8,79,0.684,347,0.542,25,0.16,0.522,0.543,8.3,8.5,17.6,1.1,6.5,0.34,1.15,1.23,6.6,111.7,104.6
,Max Strus,Mia,G-F,25.92,49,23.5,48.9,18.1,8.3,43,0.767,99,0.545,313,0.403,0.59,0.602,10.6,3.1,7.4,1.3,8.3,0.35,0.22,0.8,6,115.2,105.3
,Jalen Suggs,Orl,G,20.74,41,27.8,58,25.6,18.7,149,0.765,315,0.441,168,0.232,0.409,0.464,12.4,3.7,7,4.4,24.7,1.27,0.39,3.07,8.4,89.4,104.3
,Craig Sword,Was,G,28.12,3,6.3,13.2,11.7,20,0,0,3,1,1,0,0.75,0.75,2,0,0,0.3,7.9,1.33,0,0.33,0,115.6,68.2
,Keifer Sykes,Ind,G,28.17,22,18.3,38.2,18.4,15.1,14,0.857,73,0.397,67,0.299,0.421,0.445,5.9,1.8,5.4,2,15.2,0.36,0.18,1.18,6.1,90.8,110
,Jae'Sean Tate,Hou,F,26.34,58,27.5,57.3,19.8,14.6,159,0.717,413,0.588,153,0.294,0.549,0.578,12.7,5.6,11.1,3.1,18.2,1.02,0.59,1.88,8.8,113,105.2
,Jayson Tatum,Bos,F-G,24,59,36.1,75.1,31.9,11,359,0.85,718,0.503,498,0.329,0.499,0.553,25.7,8.3,12.4,4.2,20.2,0.97,0.69,2.86,10.7,109.1,101.4
,Terry Taylor,Ind,G,22.44,16,18.1,37.7,17.1,6.1,20,0.7,89,0.629,10,0.4,0.626,0.64,8.6,6.1,18.7,1.4,12.5,0.19,0.19,0.44,9.3,140.3,107.8
,Garrett Temple,Nor,G-F,35.81,55,19.2,39.9,13.9,11.8,41,0.683,106,0.481,174,0.316,0.477,0.495,5.4,2.5,7.3,1.3,9.5,0.75,0.42,0.73,5.4,101.2,107.7
,Emanuel Terry,Pho,F,26.53,3,6.1,12.6,23.7,50,0,0,5,0,0,0,0,0,0,5,43.8,0.7,12.2,0.33,0,1.67,0,62.2,78
,Tyrell Terry,Mem,G,21.42,2,1.6,3.2,13.3,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,,
,Jon Teske,Mem,C,20,3,2.6,5.4,9.9,0,2,0,1,0,0,0,0,0,0,0.7,13.4,0.3,14.4,0.33,0,0,0,,
,Daniel Theis,Hou,F-C,29.9,26,22.5,46.8,16.5,13.6,40,0.675,100,0.61,79,0.291,0.534,0.554,8.4,5,12.2,0.8,5.2,0.42,0.65,1.19,5.7,104.5,108.7
,Daniel Theis,Bos,F-C,29.9,4,14.1,29.4,8.6,0,0,0,7,0.857,4,0.5,0.818,0.818,4.5,4.8,18,0.8,7.9,0.5,1.25,0,7.3,165.9,83.7
,Brodric Thomas,Bos,G,25.09,9,4.9,10.2,18.7,21.3,4,0.5,6,0.667,7,0.143,0.423,0.44,1.4,0.7,7.3,0.7,19.3,0,0.11,0.44,7.2,89.4,98.4
,Cam Thomas,Bro,G,20.38,51,19.8,41.2,22.5,8.5,85,0.824,287,0.53,158,0.272,0.487,0.521,9.9,2.6,7,1.4,10.3,0.55,0.14,0.88,6.7,102.8,111.6
,Isaiah Thomas,Lal,G,33.06,4,25.3,52.6,20.8,10.2,11,0.727,17,0.412,22,0.227,0.372,0.422,9.3,2,4.2,1.5,8.2,0,0.5,1.25,4.8,85.4,106.1
,Isaiah Thomas,Dal,G,33.06,1,13.3,27.7,27,0,0,0,5,0.6,3,0,0.375,0.375,6,0,0,4,51.4,0,0,0,0,101.2,117.1
,Matt Thomas,Chi,G,27.57,37,12.2,25.4,14.1,5.5,20,0.8,42,0.452,86,0.384,0.535,0.559,4.1,1.3,6,0.5,5.8,0.22,0.08,0.22,4.5,111.8,112.9
,Klay Thompson,Gol,G,32.06,17,25.2,52.6,28.9,7.7,33,0.939,118,0.466,130,0.385,0.524,0.554,17.1,3.8,8.2,3,20.1,0.59,0.41,1.29,9.2,110,104.4
,Tristan Thompson,Sac,C-F,30.97,30,15.2,31.6,19.4,14.1,60,0.533,150,0.5,1,1,0.507,0.521,6.2,5.4,19.1,0.6,5.9,0.37,0.4,0.97,7.2,109,104.7
,Tristan Thompson,Ind,C-F,30.97,4,16.4,34.2,20.7,12.7,8,0.375,24,0.542,0,0,0.542,0.527,7.3,4.5,15.2,0.5,4.7,0,0.5,1,6.2,102.7,107.1
,Tristan Thompson,Chi,C-F,30.97,3,15.3,31.9,16.3,11.7,16,0.5,8,0.625,0,0,0.625,0.598,6,3.7,13.3,0.3,2.8,0.67,0,0.67,4.9,119.7,102.4
,JT Thor,Cha,F,19.51,22,10.1,21,12,11.1,14,0.714,24,0.583,26,0.269,0.49,0.525,2.7,1.6,8.5,0.8,10.5,0.36,0.41,0.32,6,113.3,105.2
,Matisse Thybulle,Phi,G-F,24.99,45,26.3,54.9,9.7,11.8,25,0.72,103,0.728,110,0.282,0.57,0.583,5.8,2.4,5.1,1.2,6.3,1.84,1.04,0.67,3.9,112.6,103.6
,Killian Tillie,Mem,F-C,23.99,33,13.4,27.9,12.4,8.2,8,0.625,39,0.41,80,0.338,0.475,0.482,3.6,1.7,6.7,0.6,5.7,0.7,0.42,0.33,4.6,106.2,100.9
,Xavier Tillman,Mem,F,23.13,40,12.8,26.6,16.1,13,48,0.646,118,0.525,35,0.2,0.474,0.505,4.4,2.9,11.8,1,10.4,1.03,0.35,0.65,7.3,108.3,100.5
,Isaiah Todd,Was,F,20.37,10,4.1,8.6,22.3,4.8,6,0.333,6,0.167,11,0.364,0.412,0.407,1.6,1,13.3,0.3,10.3,0.2,0.2,0.1,7.6,91.6,110.8
,Obi Toppin,Nyk,F,23.99,56,15,31.3,20.4,11.2,90,0.744,212,0.642,96,0.219,0.544,0.578,7.2,3.5,12.5,0.9,9.7,0.25,0.41,0.79,7.5,113.5,104.1
,Juan Toscano-Anderson,Gol,F,28.89,58,14.3,29.8,15.3,20.9,57,0.596,130,0.6,76,0.303,0.546,0.56,4.5,2.6,9.9,1.9,18.2,0.69,0.26,1.05,7.9,105.4,96.1
,Karl-Anthony Towns,Min,C-F,26.29,55,34.1,71.1,27.4,13.9,322,0.82,635,0.57,283,0.406,0.582,0.629,24.2,9.6,14.9,3.9,19.3,1,1.13,3.11,11.4,119.6,102.9
,Gary Trent Jr.,Tor,G-F,23.12,51,34.6,72.1,21.6,5.8,122,0.811,386,0.459,398,0.394,0.526,0.552,18.1,2.6,4.2,1.9,8.7,1.92,0.29,1.02,5.2,113.5,109.3
,P.J. Tucker,Mia,F,36.82,55,28.4,59.3,11.9,12.6,54,0.722,179,0.542,164,0.451,0.606,0.62,8.3,5.4,10.6,2.1,10.5,0.78,0.22,0.96,6.4,123.7,102.2
,Rayjon Tucker,Den,G,24.43,3,9.8,20.3,5.6,0,4,0.75,0,0,2,0.5,0.75,0.798,2,1.3,7.6,1.3,16.7,0.33,0,0,6.1,188.7,103.2
,Myles Turner,Ind,C-F,25.94,42,29.4,61.2,17.2,10.9,105,0.752,210,0.662,183,0.333,0.587,0.615,12.9,7.1,13.3,1,5.2,0.67,2.81,1.29,6.1,117.4,106.1
,Jonas Valanciunas,Nor,C,29.82,55,31.2,65.1,23.6,14.5,224,0.813,579,0.573,127,0.378,0.572,0.615,18,11.6,20.4,2.5,13.7,0.51,0.89,2.47,10.3,117.2,101.6
,Denzel Valentine,Cle,G,28.29,22,9.3,19.3,15.6,13.9,0,0,18,0.278,44,0.409,0.516,0.516,2.9,1.7,10.2,0.5,7.6,0.32,0,0.45,5.8,99.9,100.7
,Denzel Valentine,Uta,G,28.29,2,9.3,19.3,14.1,33.3,0,0,1,1,3,0.333,0.625,0.625,2.5,2,11.8,0,0,0.5,0,1,0,75.2,92
,Jarred Vanderbilt,Min,F,22.91,57,25.9,54,10.9,14,101,0.634,274,0.609,12,0.167,0.594,0.611,7.1,8.9,18.1,1.4,7.1,1.42,0.7,0.95,6.9,128.3,101.5
,Fred VanVleet,Tor,G,28.01,52,38.2,79.5,24.1,12.4,178,0.876,379,0.438,522,0.398,0.531,0.568,21.4,4.5,6.4,6.9,28.2,1.6,0.54,2.67,9.1,116.6,108.9
,Devin Vassell,San,G-F,21.52,54,26.2,54.5,18.9,6.5,64,0.813,288,0.517,274,0.343,0.516,0.535,11.7,4.3,8.7,1.8,9.6,0.98,0.61,0.76,6.9,108.4,107.1
,Gabe Vincent,Mia,G,25.71,53,24.3,50.6,17.8,15.1,50,0.82,156,0.506,262,0.378,0.544,0.564,9.4,2,4.7,3.4,20.5,0.94,0.23,1.47,6.6,110.1,101.5
,Nikola Vucevic,Chi,C,31.35,55,33.7,70.3,24.5,10.3,92,0.761,625,0.538,262,0.305,0.514,0.529,17.9,11.6,19,3.5,16.1,0.96,1.16,1.93,10.7,107.3,103.6
,Dean Wade,Cle,F-C,25.28,46,19.1,39.7,11.3,7.2,29,0.655,63,0.635,132,0.364,0.574,0.585,5.3,3,8.6,1.1,7.9,0.57,0.13,0.35,5.4,121.7,101.4
,Franz Wagner,Orl,F,20.51,62,31.8,66.4,21.1,10.3,179,0.849,564,0.509,221,0.357,0.517,0.557,15.5,4.6,7.7,3,15.3,0.89,0.45,1.6,7.5,110,110.3
,Moritz Wagner,Orl,F-C,24.85,45,12.5,26.1,23.4,10.5,79,0.797,114,0.684,124,0.331,0.586,0.627,7.6,2.4,10.4,1.1,14.9,0.29,0.22,0.71,8.7,118.6,100.4
,Ish Wainright,Pho,F,27.47,31,7.2,14.9,14,13.9,7,0.429,27,0.444,32,0.313,0.458,0.459,1.8,1.2,8.9,0.3,5.6,0.29,0.16,0.32,4.8,99,95.7
,Lonnie Walker IV,San,G-F,23.21,57,23.1,48,23.5,8.6,110,0.791,346,0.486,273,0.304,0.473,0.503,11.8,2.6,5.9,2.2,13.6,0.61,0.3,1.11,7.1,101.1,110.5
,Kemba Walker,Nyk,G,31.81,37,25.6,53.4,20.8,10.7,71,0.845,171,0.444,199,0.367,0.501,0.537,11.6,3,6.2,3.5,22.4,0.7,0.19,1.3,7.7,111.4,111.3
,MJ Walker,Pho,G,23.93,2,4.2,8.8,20.6,0,0,0,2,0,2,0,0,0,0,0.5,6.3,0.5,13.3,1,0,0,0,17.5,85.9
,Derrick Walton Jr.,Det,G,26.92,3,36.1,75.1,15.3,28.4,4,1,13,0.231,13,0.231,0.288,0.342,6.3,3.3,5,7,26.9,2.33,1.33,3.67,5.8,76.5,109.5
,Brad Wanamaker,Ind,G,32.6,22,13.3,27.7,15.4,22,22,0.909,55,0.4,17,0.235,0.389,0.465,3.5,1.6,6.6,2.2,21.8,0.23,0.27,1.05,6.9,96.4,103.8
,Brad Wanamaker,Was,G,32.6,1,27.1,56.5,10.4,0,3,1,5,0.4,0,0,0.4,0.554,7,4,8.1,7,34.2,2,0,0,8.6,147.4,101.1
,Duane Washington Jr.,Ind,G,21.94,31,19.4,40.5,21.9,10.4,31,0.742,130,0.4,131,0.344,0.458,0.477,8.5,1.7,5,1.9,14.1,0.48,0.03,1.03,6.2,96,111.9
,P.J. Washington,Cha,F,23.52,46,25.7,53.6,16.3,13.2,65,0.723,145,0.566,222,0.369,0.559,0.578,9.9,5.6,11.3,2,10.7,0.83,0.93,1.3,7.5,111.8,105.8
,Yuta Watanabe,Tor,G-F,27.38,28,13.8,28.6,16.5,11.5,35,0.571,52,0.462,64,0.375,0.517,0.533,5,2.8,11,0.7,7,0.25,0.5,0.61,6.2,107.4,105.4
,Lindy Waters III,Okc,F,24.59,6,9.2,19.1,11,0,0,0,2,1,12,0.333,0.571,0.571,2.7,1.5,8.3,0,0,0.17,0.17,0,0,113.4,108
,Tremont Waters,Tor,G,24.14,2,20.9,43.5,16.4,25,0,0,3,0.333,9,0.222,0.333,0.333,4,2,5.2,3.5,22,2,0,2,5.8,73.5,107.4
,Tremont Waters,Was,G,24.14,1,8.5,17.7,10.5,0,0,0,2,0.5,0,0,0.5,0.5,2,0,0,0,0,1,0,0,0,99.9,88.9
,Trendon Watford,Por,F,21.31,35,13.1,27.4,15,15.7,43,0.721,104,0.625,11,0.091,0.578,0.612,4.7,3.2,13.3,1.1,12.1,0.4,0.43,0.71,7.8,118.3,101.4
,Paul Watson,Okc,G,27.17,9,17.4,36.2,11,10,2,0.5,9,0.667,26,0.231,0.429,0.432,3.4,3,8.8,0.9,7.3,0.33,0.33,0.44,4.8,91,107.2
,Quinndary Weatherspoon,Gol,G,25.47,5,6.6,13.8,18.2,21.6,2,1,9,0.667,1,0,0.6,0.643,2.8,1.2,9.8,0.4,9.2,0.2,0.2,0.6,6.7,104.6,86
,Russell Westbrook,Lal,G,33.3,59,34.4,71.7,27.7,18.1,301,0.668,736,0.474,202,0.292,0.466,0.503,18.2,7.7,11.8,7.3,32.9,1.03,0.25,4.02,11.7,99.8,104.4
,Coby White,Chi,G,22.04,42,28.3,58.9,20.2,9,77,0.844,213,0.502,249,0.402,0.556,0.584,13.8,3.1,6,2.9,14.8,0.48,0.24,1.17,7,114.6,108.4
,Derrick White,San,G,27.66,49,30.3,63.2,20.7,12,160,0.869,312,0.519,258,0.314,0.497,0.551,14.4,3.5,6.1,5.6,24.9,1,0.86,1.78,8.7,113.5,108.7
,Derrick White,Bos,G,27.66,7,26.2,54.6,20.2,10.7,19,0.789,31,0.548,36,0.25,0.455,0.504,10.9,3.4,7,3,16.9,1,1.14,1.29,7.3,106.6,100.7
,Hassan Whiteside,Uta,C,32.72,48,18.4,38.4,17.4,11.6,127,0.654,257,0.634,0,0,0.634,0.654,8.5,7.8,23.2,0.4,3.2,0.31,1.5,0.85,6.5,131.5,92.6
,Joe Wieskamp,San,G-F,22.52,17,5.6,11.6,14.8,3,7,0.429,9,0.556,20,0.4,0.586,0.577,2.2,0.5,4.4,0.3,6.9,0.18,0.12,0.06,4.9,119.9,111.8
,Aaron Wiggins,Okc,G-F,23.16,37,22.3,46.4,13.8,11.4,51,0.706,117,0.598,93,0.301,0.533,0.559,7,3.4,7.8,1,7,0.68,0.24,0.81,5.2,109.1,105.2
,Andrew Wiggins,Gol,F,27.02,56,31.7,65.9,23,8.4,178,0.646,471,0.522,309,0.408,0.558,0.574,17.6,4.2,7.1,2.1,10.7,1.04,0.7,1.41,6.8,111.3,104.1
,Lindell Wigginton,Mil,G,23.93,12,9.6,19.9,16.4,15.9,18,0.556,15,0.533,14,0.5,0.638,0.637,3.9,1.3,7.3,0.6,8.5,0.33,0.08,0.58,6,112.6,105.5
,Robert Williams III,Bos,C-F,24.37,50,29.8,62.1,11.8,14.5,79,0.709,307,0.723,1,0,0.721,0.729,10,9.7,17.4,2,10.1,0.88,2.18,1.16,7.8,144.9,100.6
,Brandon Williams,Por,G,22.27,4,13.9,28.9,25.4,15.5,19,0.684,11,0.455,8,0.375,0.5,0.585,8,1,3.9,2.3,24.5,0,0,1.25,7.6,113.8,114.7
,Grant Williams,Bos,F,23.25,58,23.6,49.1,12,11.8,59,0.915,103,0.592,199,0.437,0.634,0.666,7.5,3.2,7.3,1.1,6.6,0.52,0.72,0.76,5,125.6,101.1
,Kenrich Williams,Okc,G-F,27.24,49,21.9,45.6,15.6,11.9,55,0.545,196,0.536,121,0.339,0.525,0.532,7.4,4.5,10.4,2.2,15.6,0.9,0.2,0.94,7.6,111.2,105.2
,Lou Williams,Atl,G,35.34,41,14.6,30.4,22.3,10.8,56,0.893,164,0.409,84,0.357,0.452,0.502,6.7,1.6,5.9,2,19.5,0.49,0.07,0.8,7.6,105.2,111.6
,Patrick Williams,Chi,F,20.51,5,24.9,52,9.4,7.5,4,1,17,0.588,6,0.5,0.63,0.666,6.6,2.2,4.9,0.6,3.1,0.6,0.4,0.4,3.3,126.6,109.5
,Ziaire Williams,Mem,F,20.47,43,21.9,45.7,14,7.8,29,0.793,123,0.65,159,0.289,0.528,0.545,7.5,1.9,4.6,0.9,5.2,0.56,0.16,0.58,4.3,110.3,106.4
,D.J. Wilson,Tor,F,26.03,4,13.5,28.2,16.9,9.3,10,0.8,13,0.846,2,0,0.733,0.773,7.5,4,16.1,1.3,14.7,1.25,0.25,0.5,10,148.7,94.5
,Dylan Windler,Cle,G-F,25.44,37,9.3,19.4,12,13.8,9,0.778,23,0.522,54,0.389,0.565,0.581,2.5,1.7,9.8,0.7,10,0.24,0.05,0.35,6.2,115,98.6
,Justise Winslow,Lac,F-G,25.93,37,13,27,17.8,18.5,41,0.61,112,0.518,29,0.172,0.465,0.49,4.2,3.6,14.4,1.4,15.7,0.57,0.49,0.97,8.5,98.1,99.1
,Justise Winslow,Por,F-G,25.93,7,30,62.6,18.4,9,16,0.625,50,0.52,24,0.333,0.514,0.531,12.3,6.6,11.9,3.1,16.2,1.43,0.71,1.14,8.4,112.9,108.1
,Cassius Winston,Was,G,24,5,5.4,11.3,12.9,12.7,2,1,1,1,5,0.4,0.667,0.727,2,0,0,1,25.6,0,0,0.2,0,143.4,93.6
,Robert Woodard II,Sac,F,22.44,12,3.5,7.3,18.1,5.6,2,1,12,0.083,4,0.25,0.156,0.207,0.6,0.9,14,0.3,8.9,0.08,0.08,0.08,6.2,,
,Christian Wood,Hou,F,26.43,56,30.9,64.3,23.7,10.9,267,0.596,470,0.551,274,0.372,0.554,0.571,17.6,10.1,18,2.2,11.8,0.73,0.91,1.88,9.5,110.5,108.2
,McKinley Wright IV,Min,G,23.35,3,2.9,6,19.4,25,0,0,1,1,2,0.5,0.833,0.833,1.7,0,0,0.3,18.9,0,0,0.33,0,,
,Delon Wright,Atl,G,29.84,55,18.1,37.6,10.9,14.5,42,0.833,115,0.487,79,0.392,0.528,0.565,4.4,2.9,8.6,2.4,17.2,1,0.2,0.65,6.9,122.1,111.8
,Moses Wright,Lac,F,23.19,1,1.5,3.1,0,,0,0,0,0,0,0,,,0,0,0,1,80.9,0,0,0,0,,
,Thaddeus Young,San,F,33.69,26,14.2,29.7,19.1,17.9,22,0.455,123,0.602,5,0,0.578,0.574,6.1,3.6,13.2,2.3,22.7,0.88,0.27,1.15,10.4,113.5,103.1
,Thaddeus Young,Tor,F,33.69,5,18.3,38.1,19.7,14.3,9,0.222,26,0.5,6,0.667,0.594,0.556,8,3.8,11.3,1.6,13.5,1,0.4,1.2,8,108.7,102
,Trae Young,Atl,G,23.45,55,34.5,71.9,35,14.8,381,0.895,704,0.506,422,0.377,0.528,0.591,27.8,3.9,6.1,9.4,46.3,0.98,0.11,4.09,11.7,116.5,113.7
,Omer Yurtseven,Mia,C,23.7,44,13.9,28.9,20,13.4,55,0.636,208,0.553,7,0.143,0.542,0.56,6.1,5.8,23.5,1,11.8,0.34,0.41,0.84,9.4,114.2,93.2
,Cody Zeller,Por,F-C,29.4,27,13.1,27.4,16,14.6,49,0.776,86,0.593,4,0,0.567,0.627,5.2,4.6,19.2,0.8,9.3,0.3,0.22,0.7,8.2,128.8,99.3
,Ivica Zubac,Lac,C,24.95,57,24.3,50.6,15.6,17.4,177,0.712,329,0.65,0,0,0.65,0.681,9.7,8.1,17.5,1.4,8.6,0.46,1.04,1.51,7.9,127.5,99.2
